department;municipality;postal_code;neighbourhood
Managua;Managua;13142;El Rosal
Managua;Managua;13143;Hilario Sánchez Sur
Managua;Managua;13144;Sector Sureste Comarca San Jose La Cañada
Managua;Managua;13145;La Veranera
Managua;Managua;13146;Sector Suroeste Comarca San Jose La Cañada
Managua;Managua;14001;Edgard Munguía
Managua;Managua;14002;Reparto San Juan
Managua;Managua;14003;Reparto Lomas De Guadalupe
Managua;Managua;14004;Reparto Tiscapa
Managua;Managua;14005;Sector Metrocentro
Managua;Managua;14006;Colonial Los Robles 3
Managua;Managua;14007;Colonial Los Robles 5
Managua;Managua;14008;Colonial Los Robles 7
Managua;Managua;14009;Colonial Los Robles 8
Managua;Managua;14011;Pedro Joaquín Chamorro
Managua;Managua;14012;La Luz
Managua;Managua;14012;14 De Junio
Managua;Managua;14013;Habana 1 - Rotonda De Cristo
Managua;Managua;14014;Riguero
Managua;Managua;14015;Aldo Chavarría
Managua;Managua;14016;Máximo Jeréz
Managua;Managua;14017;Barrio México
Managua;Managua;14018;Revolución
Managua;Managua;14019;Liberia
Managua;Managua;14021;Carlos Fonseca
Managua;Managua;14022;Sector Mercado Roberto Huembes
Managua;Managua;14023;Isaías Gómez
Managua;Managua;14024;Sector Hospital Manolo Morales
Managua;Managua;14025;Santos López
Managua;Managua;14026;Bosques De Altamira
Managua;Managua;14027;Altamira Este
Managua;Managua;14028;Colonial Los Robles 6
Managua;Managua;14029;Colonial Los Robles 2
Managua;Managua;14031;Planes De Altamira 2
Managua;Managua;14032;Colonial Los Robles 4
Managua;Managua;14033;Colonial Los Robles 1
Managua;Managua;14034;Planes De Altamira 1
Managua;Managua;14035;Reparto Los Robles
Managua;Managua;14036;Anexo Reparto San Juan
Managua;Managua;14037;Lomas De San Juan
Managua;Managua;14038;Villa Santa Fe
Managua;Managua;14039;Sector Sur San Juan
Managua;Managua;14041;Sector Sureste San Juan
Managua;Managua;14042;Planes De Altamira 3
Managua;Managua;14043;Sector Este Planes De Altamira 3
Managua;Managua;14044;Las Flores
Managua;Managua;14045;Bell Air
Managua;Managua;14046;Sector Noroeste Paso Desnivel Centroamérica
Managua;Managua;14047;La Morita
Managua;Managua;14048;Colonia Centroamérica
Managua;Managua;14049;Sector Centro Comercial Managua
Managua;Managua;14051;Pantasma
Managua;Managua;14052;Grenada
Managua;Managua;14053;Ariel Darce
Managua;Managua;14053;La Fuente
